country  ,city,neighborhood,name,description,gem_type  ,season,stay_duration  ,image_path  ,map_link  
Israel,Haifa,Stella Maris,Elijah Cave  ,A magical cave with a breathtaking view of the Mediterranean Sea and a sense of historic holiness.  ,Cave  ,All Year,45,https://example.com/elijah_cave.jpg,
Israel,Jerusalem,Ein Kerem,Sataf Forest  ,A natural and charming trail near flowing springs and green mountain scenery.  ,Trail  ,Spring,90,https://example.com/staf_forest.jpg,
Israel,Tel Aviv,Yarkon Park,Yarkon Wooden Bridge  ,A quiet and shaded spot in the heart of a bustling city – perfect for a break.  ,Water  ,Summer,30,https://example.com/yarkon_bridge.jpg,
Israel,Arad,Dead Sea Area,Dragot Cliffs  ,A breathtaking viewpoint over the Judean Desert and the Dead Sea. Especially stunning sunsets.  ,Viewpoint  ,Winter,60,https://example.com/metsuke_dragot.jpg,
Israel,Zichron Yaakov,Ramat Hanadiv,Nadiv Cave  ,A small natural cave in the heart of a manicured garden with a mysterious and pleasant atmosphere.  ,Cave  ,All Year,20,https://example.com/hanadiv_cave.jpg,
Israel,Netanya,Nature Area,Netanya Hidden Spot  ,"A peaceful and calm spot near Netanya, ideal for relaxing in nature.  ",Trail  ,Summer,106,https://example.com/sample.jpg,
Israel,Eilat,Nature Area,Eilat Hidden Spot  ,"A peaceful and calm spot near Eilat, ideal for relaxing in nature.  ",Trail  ,Winter,115,https://example.com/sample.jpg,
Israel,Safed,Nature Area,Safed Hidden Spot  ,"A peaceful and calm spot near Safed, ideal for relaxing in nature.  ",Trail  ,Spring,100,https://example.com/sample.jpg,
Israel,Nazareth,Nature Area,Nazareth Hidden Spot  ,"A peaceful and calm spot near Nazareth, ideal for relaxing in nature.  ",Cafe  ,Autumn,102,https://example.com/sample.jpg,
Israel,Tiberias,Nature Area,Tiberias Hidden Spot  ,"A peaceful and calm spot near Tiberias, ideal for relaxing in nature.  ",Cave  ,Spring,104,https://example.com/sample.jpg,
Israel,Eilat,Nature Area,Eilat Hidden Spot  ,"A peaceful and calm spot near Eilat, ideal for relaxing in nature.  ",Beach  ,Winter,108,https://example.com/sample.jpg,
Israel,Eilat,Nature Area,Eilat Hidden Spot  ,"A peaceful and calm spot near Eilat, ideal for relaxing in nature.  ",Trail  ,All Year,71,https://example.com/sample.jpg,
Israel,Netanya,Nature Area,Netanya Hidden Spot  ,"A peaceful and calm spot near Netanya, ideal for relaxing in nature.  ",Trail  ,Spring,110,https://example.com/sample.jpg,
Israel,Tiberias,Nature Area,Tiberias Hidden Spot  ,"A peaceful and calm spot near Tiberias, ideal for relaxing in nature.  ",Water  ,Winter,31,https://example.com/sample.jpg,
Israel,Beersheba,Nature Area,Beersheba Hidden Spot  ,"A peaceful and calm spot near Beersheba, ideal for relaxing in nature.  ",Trail  ,All Year,54,https://example.com/sample.jpg,
Israel,Netanya,Nature Area,Netanya Hidden Spot  ,"A peaceful and calm spot near Netanya, ideal for relaxing in nature.  ",Water  ,Spring,62,https://example.com/sample.jpg,
Israel,Nazareth,Nature Area,Nazareth Hidden Spot  ,"A peaceful and calm spot near Nazareth, ideal for relaxing in nature.  ",Cave  ,Winter,83,https://example.com/sample.jpg,
Israel,Kiryat Shmona,Nature Area,Kiryat Shmona Hidden Spot  ,"A peaceful and calm spot near Kiryat Shmona, ideal for relaxing in nature.  ",Water  ,All Year,68,https://example.com/sample.jpg,
Israel,Nazareth,Nature Area,Nazareth Hidden Spot  ,"A peaceful and calm spot near Nazareth, ideal for relaxing in nature.  ",Biking  ,Spring,85,https://example.com/sample.jpg,
Israel,Kiryat Shmona,Nature Area,Kiryat Shmona Hidden Spot  ,"A peaceful and calm spot near Kiryat Shmona, ideal for relaxing in nature.  ",Cave  ,Summer,95,https://example.com/sample.jpg,
Israel,Beersheba,Nature Area,Beersheba Hidden Spot  ,"A peaceful and calm spot near Beersheba, ideal for relaxing in nature.  ",Biking  ,Spring,84,https://example.com/sample.jpg,
Israel,Kfar Saba,Nature Area,Kfar Saba Hidden Spot  ,"A peaceful and calm spot near Kfar Saba, ideal for relaxing in nature.  ",Beach  ,Winter,56,https://example.com/sample.jpg,
Israel,Eilat,Nature Area,Eilat Hidden Spot  ,"A peaceful and calm spot near Eilat, ideal for relaxing in nature.  ",Beach  ,Spring,30,https://example.com/sample.jpg,
Israel,Netanya,Nature Area,Netanya Hidden Spot  ,"A peaceful and calm spot near Netanya, ideal for relaxing in nature.  ",Trail  ,Winter,39,https://example.com/sample.jpg,
Israel,Kfar Saba,Nature Area,Kfar Saba Hidden Spot  ,"A peaceful and calm spot near Kfar Saba, ideal for relaxing in nature.  ",Trail  ,Winter,100,https://example.com/sample.jpg,
Israel,Safed,Nature Area,Safed Hidden Spot  ,"A peaceful and calm spot near Safed, ideal for relaxing in nature.  ",Cave  ,Spring,59,https://example.com/sample.jpg,
Israel,Safed,Nature Area,Safed Hidden Spot  ,"A peaceful and calm spot near Safed, ideal for relaxing in nature.  ",Biking  ,Summer,109,https://example.com/sample.jpg,
Israel,Kiryat Shmona,Nature Area,Kiryat Shmona Hidden Spot  ,"A peaceful and calm spot near Kiryat Shmona, ideal for relaxing in nature.  ",Trail  ,All Year,110,https://example.com/sample.jpg,
Israel,Kfar Saba,Nature Area,Kfar Saba Hidden Spot  ,"A peaceful and calm spot near Kfar Saba, ideal for relaxing in nature.  ",Restaurant  ,All Year,21,https://example.com/sample.jpg,
Israel,Beersheba,Nature Area,Beersheba Hidden Spot,"A peaceful and calm spot near Beersheba, ideal for relaxing in nature.",Water  ,Winter,20,https://example.com/sample.jpg,
Italy,Florence,Area 1,Hidden Gem 1 in Florence,"A peaceful and scenic natural spot near Florence, perfect for a quiet view.",Biking  ,Spring,71,https://example.com/europe_sample.jpg,
Italy,Florence,Area 2,Hidden Gem 2 in Florence,"A peaceful and scenic natural spot near Florence, perfect for a quiet view.",Restaurant  ,Winter,46,https://example.com/europe_sample.jpg,
Italy,Florence,Area 3,Hidden Gem 3 in Florence,"A peaceful and scenic natural spot near Florence, perfect for a picnic.",Cafe  ,Spring,76,https://example.com/europe_sample.jpg,
France,Annecy,Area 1,Hidden Gem 1 in Annecy,"A peaceful and scenic natural spot near Annecy, perfect for a short hike.",Cafe  ,Spring,63,https://example.com/europe_sample.jpg,
France,Annecy,Area 2,Hidden Gem 2 in Annecy,"A peaceful and scenic natural spot near Annecy, perfect for a short hike.",Water  ,All Year,64,https://example.com/europe_sample.jpg,
France,Annecy,Area 3,Hidden Gem 3 in Annecy,"A peaceful and scenic natural spot near Annecy, perfect for a picnic.",Cafe  ,Spring,53,https://example.com/europe_sample.jpg,
Spain,Granada,Area 1,Hidden Gem 1 in Granada,"A peaceful and scenic natural spot near Granada, perfect for a quiet view.",Beach  ,Winter,108,https://example.com/europe_sample.jpg,
Spain,Granada,Area 2,Hidden Gem 2 in Granada,"A peaceful and scenic natural spot near Granada, perfect for a short hike.",Cafe  ,Autumn,41,https://example.com/europe_sample.jpg,
Spain,Granada,Area 3,Hidden Gem 3 in Granada,"A peaceful and scenic natural spot near Granada, perfect for a short hike.",Water  ,Summer,82,https://example.com/europe_sample.jpg,
Germany,Garmisch,Area 1,Hidden Gem 1 in Garmisch,"A peaceful and scenic natural spot near Garmisch, perfect for a short hike.",Cafe  ,Autumn,47,https://example.com/europe_sample.jpg,
Germany,Garmisch,Area 2,Hidden Gem 2 in Garmisch,"A peaceful and scenic natural spot near Garmisch, perfect for a quiet view.",Restaurant  ,Winter,93,https://example.com/europe_sample.jpg,
Germany,Garmisch,Area 3,Hidden Gem 3 in Garmisch,"A peaceful and scenic natural spot near Garmisch, perfect for a short hike.",Viewpoint  ,Summer,91,https://example.com/europe_sample.jpg,
Switzerland,Lauterbrunnen,Area 1,Hidden Gem 1 in Lauterbrunnen,"A peaceful and scenic natural spot near Lauterbrunnen, perfect for a short hike.",Biking  ,Autumn,104,https://example.com/europe_sample.jpg,
Switzerland,Lauterbrunnen,Area 2,Hidden Gem 2 in Lauterbrunnen,"A peaceful and scenic natural spot near Lauterbrunnen, perfect for a quiet view.",Cave  ,Winter,84,https://example.com/europe_sample.jpg,
Switzerland,Lauterbrunnen,Area 3,Hidden Gem 3 in Lauterbrunnen,"A peaceful and scenic natural spot near Lauterbrunnen, perfect for a quiet view.",Water  ,All Year,77,https://example.com/europe_sample.jpg,
Portugal,Sintra,Area 1,Hidden Gem 1 in Sintra,"A peaceful and scenic natural spot near Sintra, perfect for a picnic.",Biking  ,Winter,118,https://example.com/europe_sample.jpg,
Portugal,Sintra,Area 2,Hidden Gem 2 in Sintra,"A peaceful and scenic natural spot near Sintra, perfect for a picnic.",Water  ,Autumn,44,https://example.com/europe_sample.jpg,
Portugal,Sintra,Area 3,Hidden Gem 3 in Sintra,"A peaceful and scenic natural spot near Sintra, perfect for a quiet view.",Biking  ,Winter,43,https://example.com/europe_sample.jpg,
Greece,Meteora,Area 1,Hidden Gem 1 in Meteora,"A peaceful and scenic natural spot near Meteora, perfect for a picnic.",Beach  ,Autumn,114,https://example.com/europe_sample.jpg,
Greece,Meteora,Area 2,Hidden Gem 2 in Meteora,"A peaceful and scenic natural spot near Meteora, perfect for a picnic.",Cafe  ,Spring,44,https://example.com/europe_sample.jpg,
Greece,Meteora,Area 3,Hidden Gem 3 in Meteora,"A peaceful and scenic natural spot near Meteora, perfect for a quiet view.",Cafe  ,Autumn,83,https://example.com/europe_sample.jpg,
Austria,Hallstatt,Area 1,Hidden Gem 1 in Hallstatt,"A peaceful and scenic natural spot near Hallstatt, perfect for a short hike.",Cafe  ,Spring,80,https://example.com/europe_sample.jpg,
Austria,Hallstatt,Area 2,Hidden Gem 2 in Hallstatt,"A peaceful and scenic natural spot near Hallstatt, perfect for a quiet view.",Water  ,Winter,101,https://example.com/europe_sample.jpg,
Austria,Hallstatt,Area 3,Hidden Gem 3 in Hallstatt,"A peaceful and scenic natural spot near Hallstatt, perfect for a short hike.",Water  ,Spring,89,https://example.com/europe_sample.jpg,
Slovenia,Bled,Area 1,Hidden Gem 1 in Bled,"A peaceful and scenic natural spot near Bled, perfect for a picnic.",Beach  ,Autumn,60,https://example.com/europe_sample.jpg,
Slovenia,Bled,Area 2,Hidden Gem 2 in Bled,"A peaceful and scenic natural spot near Bled, perfect for a short hike.",Water  ,All Year,95,https://example.com/europe_sample.jpg,
Slovenia,Bled,Area 3,Hidden Gem 3 in Bled,"A peaceful and scenic natural spot near Bled, perfect for a picnic.",Trail  ,Winter,32,https://example.com/europe_sample.jpg,
Norway,Geiranger,Area 1,Hidden Gem 1 in Geiranger,"A peaceful and scenic natural spot near Geiranger, perfect for a quiet view.",Cave  ,Winter,105,https://example.com/europe_sample.jpg,
Norway,Geiranger,Area 2,Hidden Gem 2 in Geiranger,"A peaceful and scenic natural spot near Geiranger, perfect for a picnic.",Trail  ,Winter,107,https://example.com/europe_sample.jpg,
Norway,Geiranger,Area 3,Hidden Gem 3 in Geiranger,"A peaceful and scenic natural spot near Geiranger, perfect for a quiet view.",Beach  ,Autumn,111,https://example.com/europe_sample.jpg,
USA,Sedona,Zone 1,Secret Spot 1 in Sedona,"A natural hideaway in Sedona, featuring lush greenery.",Trail  ,All Year,77,https://example.com/world_sample.jpg,
USA,Sedona,Zone 2,Secret Spot 2 in Sedona,"A natural hideaway in Sedona, featuring hidden waterfall.",Viewpoint  ,Autumn,50,https://example.com/world_sample.jpg,
Canada,Banff,Zone 1,Secret Spot 1 in Banff,"A natural hideaway in Banff, featuring hidden waterfall.",Trail  ,Summer,49,https://example.com/world_sample.jpg,
Canada,Banff,Zone 2,Secret Spot 2 in Banff,"A natural hideaway in Banff, featuring hidden waterfall.",Cafe  ,Autumn,55,https://example.com/world_sample.jpg,
Japan,Kyoto,Zone 1,Secret Spot 1 in Kyoto,"A natural hideaway in Kyoto, featuring breathtaking views.",Biking  ,Winter,77,https://example.com/world_sample.jpg,
Japan,Kyoto,Zone 2,Secret Spot 2 in Kyoto,"A natural hideaway in Kyoto, featuring breathtaking views.",Viewpoint  ,Summer,95,https://example.com/world_sample.jpg,
India,Rishikesh,Zone 1,Secret Spot 1 in Rishikesh,"A natural hideaway in Rishikesh, featuring breathtaking views.",Cafe  ,Winter,77,https://example.com/world_sample.jpg,
India,Rishikesh,Zone 2,Secret Spot 2 in Rishikesh,"A natural hideaway in Rishikesh, featuring breathtaking views.",Water  ,All Year,77,https://example.com/world_sample.jpg,
Australia,Blue Mountains,Zone 1,Secret Spot 1 in Blue Mountains,"A natural hideaway in Blue Mountains, featuring hidden waterfall.",Trail  ,Winter,30,https://example.com/world_sample.jpg,
Australia,Blue Mountains,Zone 2,Secret Spot 2 in Blue Mountains,"A natural hideaway in Blue Mountains, featuring lush greenery.",Beach  ,All Year,78,https://example.com/world_sample.jpg,
Brazil,Paraty,Zone 1,Secret Spot 1 in Paraty,"A natural hideaway in Paraty, featuring breathtaking views.",Viewpoint  ,Spring,72,https://example.com/world_sample.jpg,
Brazil,Paraty,Zone 2,Secret Spot 2 in Paraty,"A natural hideaway in Paraty, featuring lush greenery.",Trail  ,Spring,83,https://example.com/world_sample.jpg,
Thailand,Pai,Zone 1,Secret Spot 1 in Pai,"A natural hideaway in Pai, featuring hidden waterfall.",Restaurant  ,Summer,95,https://example.com/world_sample.jpg,
Thailand,Pai,Zone 2,Secret Spot 2 in Pai,"A natural hideaway in Pai, featuring lush greenery.",Beach  ,Spring,59,https://example.com/world_sample.jpg,
South Africa,Knysna,Zone 1,Secret Spot 1 in Knysna,"A natural hideaway in Knysna, featuring lush greenery.",Cafe  ,All Year,38,https://example.com/world_sample.jpg,
South Africa,Knysna,Zone 2,Secret Spot 2 in Knysna,"A natural hideaway in Knysna, featuring lush greenery.",Restaurant  ,All Year,33,https://example.com/world_sample.jpg,
New Zealand,Wanaka,Zone 1,Secret Spot 1 in Wanaka,"A natural hideaway in Wanaka, featuring breathtaking views.",Biking  ,Summer,30,https://example.com/world_sample.jpg,
New Zealand,Wanaka,Zone 2,Secret Spot 2 in Wanaka,"A natural hideaway in Wanaka, featuring breathtaking views.",Biking  ,Summer,72,https://example.com/world_sample.jpg,
Morocco,Chefchaouen,Zone 1,Secret Spot 1 in Chefchaouen,"A natural hideaway in Chefchaouen, featuring lush greenery.",Water  ,All Year,68,https://example.com/world_sample.jpg,
Morocco,Chefchaouen,Zone 2,Secret Spot 2 in Chefchaouen,"A natural hideaway in Chefchaouen, featuring breathtaking views.",Restaurant  ,Summer,88,https://example.com/world_sample.jpg,
new york,5 towns,,skywalk,amazing place,Viewpoint,Summer,45,,
israel,givaat zeev,,cafe yuda,nice and lovely food truck right on 443 highway.,Cafe,All year,45,,
israel,beit horon,,cafe yuda,bdika shel link,Cafe,All year,50,,https://l.instagram.com/?u=https%3A%2F%2Fwaze.com%2Ful%2Fhsv8vr6qfb%3Ffbclid%3DPAZXh0bgNhZW0CMTEAAaeH_jro-JMP6RkXCS2hIGIw9qIYP9UFBbRINaAfyQ2On4-lIp2RL2JgW5pQWA_aem__hoP_iG7LSln0Z_UScWtUg&e=AT1QlUjCJsi0s31FsG3IMZrHGMGshGO4QjzXGXAm0kPX4DuMVudwifPdrgoz6vQPoC8LbNpNg134bMSQJUmeyANNuxGrX-TUHR40dKkMr_QF340zXwIaZ5g
israel,beit horon,,,check 2,Cafe,Summer,80,,
israel,beit horon,,,check 4,Cafe,Summer,50,,
israel,beit horon,,,check 78979,Cafe,Summer,60,,
romania,suceava,valea putnei,mushroom and bluberries picking,lovely picking trail that can be perfect for an hour anf a half for all the family and all ages.   A nice local named Peter will guide to the deep of the forest to find you tasty little gems :),Trail,Spring,90,,
romania,suceava,valea putnei,special bike riding,"cool and unknown bike trail,  we found it by chance when we drove back to our stay home. the owners will take you to the beginning  spot and will guide you how to procontinue. the place called",Biking,Summer,130,,
romania,suceava,bukovina,almos,"ice cream truck on the highway 576 back to iasi area- perfect for a short refreshing stop in the middle of driving. put the name i google maps and  when you arrive go behind the gas station, it will be right there!",Cafe,All year,30,,
israel,beit horon,,,check,Cafe,Summer,20,,
